Day,DayAmount
735746,2200000.0
735754,32500.0
735755,0.0
735776,0.0
735780,11000.0
735792,1500000.0
735794,367452.0
735796,0.0
735804,2200.0
735806,21000.0
735809,54000.0
735811,0.0
735814,5000.0
735824,0.0
735831,0.0
735847,11000.0
735885,0.0
735888,11000.0
735901,0.0
735902,0.0
735917,0.0
735918,0.0
735938,108500.0
735951,11000.0
735963,81000.0
735970,3400.0
735988,13000.0
735994,0.0
736021,29543825.0
736032,0.0
736038,0.0
736041,0.0
736049,525000.0
736050,0.0
736066,0.0
736071,2197000.0
736077,11037200.0
736098,8000.0
736110,0.0
736111,100000.0
736117,131500.0
736137,8000.0
736139,0.0
736148,0.0
736149,0.0
736159,0.0
736171,0.0
736189,0.0
736190,21661500.0
736198,6606000.0
736222,60000.0
736223,0.0
736243,25724000.0
736261,7000.0
736267,0.0
736277,9480920.0
736278,5500.0
736285,0.0
736291,49500.0
736296,10400.0
736297,3102507.12
736299,850.0
736301,42000.0
736302,280180.0
736303,132000.0
736304,6000.0
736308,13500.0
736309,17200.0
736311,15200.0
736313,12100.0
736315,750.0
736317,1445000.0
736320,11890.0
736322,120440.0
736323,1900.0
736324,120.0
736337,0.0
736344,122000.0
736382,0.0
736388,0.0
736392,0.0
736407,0.0
736421,0.0
736423,0.0
736432,0.0
736433,0.0
736434,266000.0
736439,0.0
736445,12000.0
736446,0.0
736451,72500.0
736467,0.0
736476,30000.0
736484,28000.0
736485,2500615.0
736486,100340.0
736487,68.0
736488,20.0
736492,15000.0
736495,94.5
736502,1100.0
736507,360.0
736509,0.0
736513,0.0
736514,48000.0
736515,48000.0
736519,60.0
736520,2000000.0
736522,400.0
736524,85.0
736527,9717400.0
736530,300.0
736534,0.0
736536,0.0
736537,9717400.0
736539,85.0
736544,780.0
736555,0.0
736562,188282.5
736565,0.0
736568,7303200.0
736596,0.0
736601,2424315.0
736603,0.0
736615,255074.02
736616,982766.8
736628,412499.42
736630,182205.0
736631,183403.14
736633,352647.5
736647,798697.99
736649,422619.25
736650,405572.87
736651,16335.0
736654,0.0
736664,32670.0
736665,16335.0
736667,16335.0
736673,680.0
736680,147323.0
736689,8881468.5
736691,49000.0
736692,442968.6
736693,0.0
736695,20000.0
736700,137125.0
736708,0.0
736712,6216000.0
736714,0.0
736723,3916800.0
736728,139700.0
736729,0.0
736761,0.0
736775,0.0
736780,0.0
736784,0.0
736789,14235.38
736796,0.0
736801,0.0
736802,0.0
736806,3457350.0
736808,0.0
736810,0.0
736812,0.0
736817,10.0
736818,152823.07
736821,15600.0
736836,0.0
736853,343997.5
736859,26000.0
736860,16594600.0
736871,110000.0
736879,6549000.0
736880,1051588.0
736881,182550.0
736883,0.0
736884,289901.75
736885,83050.0
736893,329703.34
736894,205590.0
736895,131450.0
736899,160853.11
736900,9702000.0
736903,0.0
736906,182049.59
736907,139867.5
736908,138460.0
736910,0.0
736913,378397.5
736917,0.0
736920,830977.5
736924,0.0
736927,267295.0
736929,88620.0
736931,8992200.0
736932,0.0
736933,157500.0
736938,9200.0
736939,141250.0
736942,0.0
736947,547892.4299999999
736954,0.0
736956,185980.0
736957,0.0
736961,3841500.6
736966,15400.0
736970,182650.5
736973,2036193.5
736977,0.0
736980,221815.0
736986,145.0
736987,277167.5
736988,243534.0
736989,1192926.0
736991,670815.5
736992,960669.0
736994,1673470.5
736996,1032070.41
737000,11282525.5
737002,691880.0
737006,175520.0
737007,1890117.71
737012,30000.0
737014,95725.0
737022,42000.0
737023,231418.5
737027,197460.0
737028,553655.0
737029,60000.0
737031,505000.0
737037,161772.5
737038,465676.5
737046,54000.0
737055,0.0
737059,19600.0
737065,0.0
737070,84000.0
737071,0.0
737075,61270.0
737076,210000.0
737078,0.0
737085,1025146.5
737090,291253.5
737099,326668.5
737100,0.0
737105,1493569.15
737106,0.0
737118,4860200.0
737125,0.0
737131,6931000.0
737132,0.0
737133,828882.23
737140,220.0
737141,625000.0
737146,0.0
737147,511515.9
737149,0.0
737151,5977600.0
737152,241398.0
737154,1156843.0
737156,0.0
737161,352117.5
737166,0.0
737169,0.0
737170,0.0
737172,0.0
737176,30012800.0
737181,63210.0
737182,0.0
737193,0.0
737194,0.0
737195,35475.0
737197,0.0
737199,0.0
737201,425807.55
737202,0.0
737203,0.0
737204,41705100.0
737208,726711.0
737209,0.0
737210,0.0
737211,121000.0
737216,106812.0
737219,0.0
737220,0.0
737221,0.0
737223,0.0
737224,6000.0
737230,0.0
737231,0.0
737236,478229.5
737237,407604.0
737241,20000.0
737244,336294.0
737245,0.0
737249,33020.0
737250,329100.0
737251,381920.55
737254,400000.0
737257,509290.74
737258,0.0
737259,0.0
737260,25000.0
737263,747519.5
737267,0.0
737271,0.0
737272,0.0
737284,9600.0
737285,0.0
737296,1116082.58
737299,4025500.0
737305,650773.0
737306,29310.0
737307,6807300.0
737309,1110.0
737313,255500.0
737319,167841.0
737320,45900.0
737338,8020150.0
737341,424420.0
737342,659923.5
737348,300000.0
737356,528977.5
737359,0.0
737360,23100.0
737361,5000.0
737368,577971.5
737373,12925.0
737375,100.0
737377,7052200.0
737379,5132025.0
737380,0.0
737382,815000.0
737383,55000.0
737386,0.0
737391,15754650.0
737399,269971.5
737401,0.0
737402,0.0
737405,7800000.0
737409,0.0
737411,160050.0
737455,14048300.0
737481,0.0
737482,0.0
737491,0.0
737503,193336.0
737505,12000.0
737510,0.0
737511,0.0
737519,36000.0
737523,0.0
737525,0.0
737526,2000.0
737530,0.0
737536,0.0
737541,25.0
737549,0.0
737552,0.0
737558,17290.0
737560,315000.0
737571,58561150.0
737572,2638000.0
737575,500000.0
737576,10100.0
737577,20.0
737579,6000.0
737580,10.0
737582,10.0
737586,361000.0
737591,6320000.0
737592,2000000.0
737596,0.0
737599,100000.0
737605,1759193.0
737606,160.0
737607,12764900.0
737608,517400.0
737610,675000.0
737612,48000.0
737613,12875.0
737618,2130.0
737621,25030.0
737627,100.0
737628,1100.0
737633,813175.0
737634,10.0
737635,6000.0
737637,12387000.0
737638,7188500.0
737639,250.0
737640,5000.0
737645,5100.0
737646,307000.0
737647,2540440.0
737649,1008000.0
737652,8650.0
737653,114088.0
737655,5681580.0
737656,140000.0
737658,13800.0
737660,48790.0
737661,2500.0
737662,40500.0
737663,2500.0
737664,299960.0
737666,94500.0
737667,6986820.0
737668,130000.0
737672,216200.0
737673,33610.0
737674,1289300.0
737675,112750.0
737676,14327100.0
737677,1000.0
737679,15237280.0
737680,14410260.0
737681,886900.0
737682,3879.0
737683,46000.0
737684,8139500.0
737685,4400.0
737686,1436460.0
737687,222510.0
