,Day,DayAmount
0,735746,2200000.0
1,735754,32500.0
2,735755,0.0
3,735776,0.0
4,735780,11000.0
5,735792,1500000.0
6,735794,367452.0
7,735796,0.0
8,735804,2200.0
9,735806,21000.0
10,735809,54000.0
11,735811,0.0
12,735814,5000.0
13,735824,0.0
14,735831,0.0
15,735847,11000.0
16,735885,0.0
17,735888,11000.0
18,735901,0.0
19,735902,0.0
20,735917,0.0
21,735918,0.0
22,735938,108500.0
23,735951,11000.0
24,735963,81000.0
25,735970,3400.0
26,735988,13000.0
27,735994,0.0
28,736021,29543825.0
29,736032,0.0
30,736038,0.0
31,736041,0.0
32,736049,525000.0
33,736050,0.0
34,736066,0.0
35,736071,2197000.0
36,736077,11037200.0
37,736098,8000.0
38,736110,0.0
39,736111,100000.0
40,736117,131500.0
41,736137,8000.0
42,736139,0.0
43,736148,0.0
44,736149,0.0
45,736159,0.0
46,736171,0.0
47,736189,0.0
48,736190,21661500.0
49,736198,6606000.0
50,736222,60000.0
51,736223,0.0
52,736243,25724000.0
53,736261,7000.0
54,736267,0.0
55,736277,9480920.0
56,736278,5500.0
57,736285,0.0
58,736291,49500.0
59,736296,10400.0
60,736297,3102507.12
61,736299,850.0
62,736301,42000.0
63,736302,280180.0
64,736303,132000.0
65,736304,6000.0
66,736308,13500.0
67,736309,17200.0
68,736311,15200.0
69,736313,12100.0
70,736315,750.0
71,736317,1445000.0
72,736320,11890.0
73,736322,120440.0
74,736323,1900.0
75,736324,120.0
76,736337,0.0
77,736344,122000.0
78,736382,0.0
79,736388,0.0
80,736392,0.0
81,736407,0.0
82,736421,0.0
83,736423,0.0
84,736432,0.0
85,736433,0.0
86,736434,266000.0
87,736439,0.0
88,736445,12000.0
89,736446,0.0
90,736451,72500.0
91,736467,0.0
92,736476,30000.0
93,736484,28000.0
94,736485,2500615.0
95,736486,100340.0
96,736487,68.0
97,736488,20.0
98,736492,15000.0
99,736495,94.5
100,736502,1100.0
101,736507,360.0
102,736509,0.0
103,736513,0.0
104,736514,48000.0
105,736515,48000.0
106,736519,60.0
107,736520,2000000.0
108,736522,400.0
109,736524,85.0
110,736527,9717400.0
111,736530,300.0
112,736534,0.0
113,736536,0.0
114,736537,9717400.0
115,736539,85.0
116,736544,780.0
117,736555,0.0
118,736562,188282.5
119,736565,0.0
120,736568,7303200.0
121,736596,0.0
122,736601,2424315.0
123,736603,0.0
124,736615,255074.02
125,736616,982766.8
126,736628,412499.42
127,736630,182205.0
128,736631,183403.14
129,736633,352647.5
130,736647,798697.99
131,736649,422619.25
132,736650,405572.87
133,736651,16335.0
134,736654,0.0
135,736664,32670.0
136,736665,16335.0
137,736667,16335.0
138,736673,680.0
139,736680,147323.0
140,736689,8881468.5
141,736691,49000.0
142,736692,442968.6
143,736693,0.0
144,736695,20000.0
145,736700,137125.0
146,736708,0.0
147,736712,6216000.0
148,736714,0.0
149,736723,3916800.0
150,736728,139700.0
151,736729,0.0
152,736761,0.0
153,736775,0.0
154,736780,0.0
155,736784,0.0
156,736789,14235.38
157,736796,0.0
158,736801,0.0
159,736802,0.0
160,736806,3457350.0
161,736808,0.0
162,736810,0.0
163,736812,0.0
164,736817,10.0
165,736818,152823.07
166,736821,15600.0
167,736836,0.0
168,736853,343997.5
169,736859,26000.0
170,736860,16594600.0
171,736871,110000.0
172,736879,6549000.0
173,736880,1051588.0
174,736881,182550.0
175,736883,0.0
176,736884,289901.75
177,736885,83050.0
178,736893,329703.34
179,736894,205590.0
180,736895,131450.0
181,736899,160853.11
182,736900,9702000.0
183,736903,0.0
184,736906,182049.59
185,736907,139867.5
186,736908,138460.0
187,736910,0.0
188,736913,378397.5
189,736917,0.0
190,736920,830977.5
191,736924,0.0
192,736927,267295.0
193,736929,88620.0
194,736931,8992200.0
195,736932,0.0
196,736933,157500.0
197,736938,9200.0
198,736939,141250.0
199,736942,0.0
