,Product Name,Price
0,"realme Narzo 50i (Mint Green, 32 GB)","₹7,499"
1,"realme Narzo 50i (Carbon Black, 32 GB)","₹7,499"
2,"realme Narzo 50i (Mint Green, 64 GB)","₹8,999"
3,Ecotel E16,₹750
4,"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999"
5,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹11,499"
6,"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499"
7,"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499"
8,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,549"
9,"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,549"
10,"realme C21Y (Cross Black, 64 GB)","₹10,499"
11,"realme C21Y (Cross Blue, 64 GB)","₹10,499"
12,"realme C21Y (Cross Blue, 32 GB)","₹9,499"
13,"realme C25Y (Glacier Blue, 128 GB)","₹11,999"
14,"realme C25Y (Metal Grey, 128 GB)","₹11,999"
15,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹11,499"
16,"realme C21Y (Cross Black, 32 GB)","₹9,499"
17,"realme 8i (Space Black, 64 GB)","₹13,999"
18,"REDMI 9i Sport (Coral Green, 64 GB)","₹8,999"
19,"realme C25_Y (Metal Grey, 64 GB)","₹10,999"
20,"realme C25_Y (Glacier Blue, 128 GB)","₹11,999"
21,"realme C25_Y (Metal Grey, 128 GB)","₹11,999"
22,"realme C11 2021 (Cool Grey, 32 GB)","₹7,499"
23,"realme C11 2021 (Cool Blue, 32 GB)","₹7,499"
24,"realme Narzo 50i (Mint Green, 32 GB)","₹7,499"
25,"realme Narzo 50i (Carbon Black, 32 GB)","₹7,499"
26,"realme Narzo 50i (Mint Green, 64 GB)","₹8,999"
27,"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999"
28,"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499"
29,"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499"
30,"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,549"
31,"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,549"
32,"realme C21Y (Cross Black, 64 GB)","₹10,499"
33,"realme C21Y (Cross Blue, 64 GB)","₹10,499"
34,"realme C21Y (Cross Blue, 32 GB)","₹9,499"
