Brand,Year,months,days,Qty,Rate,Amount
27,2018,9,3,50,1500.0,75000.0
76,2018,9,3,60,1500.0,90000.0
65,2018,9,3,20,1780.0,35600.0
57,2018,9,4,60,3250.0,195000.0
53,2018,9,4,200,1780.0,356000.0
65,2018,9,4,300,1780.0,534000.0
20,2018,9,4,960,500.0,480000.0
65,2018,9,4,50,1780.0,89000.0
53,2018,9,4,50,1780.0,89000.0
20,2018,9,4,240,500.0,120000.0
57,2018,9,4,25,3250.0,81250.0
53,2018,9,4,50,1780.0,89000.0
20,2018,9,4,120,500.0,60000.0
65,2018,9,4,50,1780.0,89000.0
57,2018,9,4,10,3250.0,32500.0
20,2018,9,4,72,500.0,36000.0
20,2018,9,4,240,500.0,120000.0
53,2018,9,4,100,1800.0,180000.0
57,2018,9,4,25,3250.0,81250.0
65,2018,9,4,50,1800.0,90000.0
20,2018,9,4,240,500.0,120000.0
65,2018,9,4,100,1800.0,180000.0
57,2018,9,4,25,3250.0,81250.0
53,2018,9,4,50,1800.0,90000.0
20,2018,9,4,480,500.0,240000.0
57,2018,9,4,50,3250.0,162500.0
20,2018,9,4,480,500.0,240000.0
57,2018,9,4,50,3250.0,162500.0
20,2018,9,4,240,500.0,120000.0
57,2018,9,4,25,3250.0,81250.0
57,2018,9,4,25,3250.0,81250.0
27,2018,9,4,30,1500.0,45000.0
20,2018,9,4,48,500.0,24000.0
57,2018,9,4,20,3250.0,65000.0
57,2018,9,4,5,3300.0,16500.0
20,2018,9,4,24,510.0,12240.0
76,2018,9,4,10,1520.0,15200.0
57,2018,9,4,5,3250.0,16250.0
20,2018,9,4,24,500.0,12000.0
57,2018,9,4,25,3250.0,81250.0
65,2018,9,4,50,1800.0,90000.0
53,2018,9,4,50,1800.0,90000.0
20,2018,9,4,240,500.0,120000.0
57,2018,9,4,15,3250.0,48750.0
57,2018,9,4,10,3250.0,32500.0
57,2018,9,4,5,3250.0,16250.0
20,2018,9,4,24,500.0,12000.0
57,2018,9,4,25,3250.0,81250.0
20,2018,9,4,240,500.0,120000.0
57,2018,9,4,25,3250.0,81250.0
20,2018,9,5,840,500.0,420000.0
57,2018,9,5,100,3250.0,325000.0
53,2018,9,5,200,1800.0,360000.0
65,2018,9,5,450,1780.0,801000.0
57,2018,9,5,10,3250.0,32500.0
20,2018,9,5,240,500.0,120000.0
53,2018,9,5,100,1780.0,178000.0
65,2018,9,5,100,1780.0,178000.0
57,2018,9,5,25,3250.0,81250.0
20,2018,9,5,168,500.0,84000.0
57,2018,9,5,15,3250.0,48750.0
20,2018,9,5,72,500.0,36000.0
57,2018,9,5,10,3250.0,32500.0
65,2018,9,5,150,1780.0,267000.0
53,2018,9,5,50,1780.0,89000.0
57,2018,9,5,10,3250.0,32500.0
20,2018,9,5,24,500.0,12000.0
20,2018,9,5,120,500.0,60000.0
20,2018,9,5,960,500.0,480000.0
57,2018,9,5,145,3250.0,471250.0
53,2018,9,5,290,1800.0,522000.0
65,2018,9,5,340,1780.0,605200.0
76,2018,9,5,100,1500.0,150000.0
20,2018,9,6,240,500.0,120000.0
57,2018,9,6,50,3250.0,162500.0
53,2018,9,6,100,1780.0,178000.0
65,2018,9,6,100,1780.0,178000.0
53,2018,9,6,50,1780.0,89000.0
57,2018,9,6,25,3250.0,81250.0
20,2018,9,6,240,500.0,120000.0
57,2018,9,6,25,3250.0,81250.0
20,2018,9,6,120,500.0,60000.0
10,2018,9,8,35,2480.0,86800.0
10,2018,9,8,35,2480.0,86800.0
10,2018,9,8,35,2480.0,86800.0
10,2018,9,8,14,2480.0,34720.0
76,2018,9,8,20,1500.0,30000.0
57,2018,9,8,7,2450.0,17150.0
65,2018,9,8,50,1780.0,89000.0
76,2018,9,8,100,1500.0,150000.0
65,2018,9,8,100,1800.0,180000.0
10,2018,9,8,7,2480.0,17360.0
10,2018,9,8,7,2480.0,17360.0
65,2018,9,9,100,1800.0,180000.0
26,2018,9,9,20,1800.0,36000.0
53,2018,9,9,30,1800.0,54000.0
76,2018,9,9,50,1500.0,75000.0
20,2018,9,9,240,500.0,120000.0
76,2018,9,9,100,1500.0,150000.0
10,2018,9,9,35,2480.0,86800.0
20,2018,9,9,72,500.0,36000.0
10,2018,9,9,35,2480.0,86800.0
76,2018,9,9,50,1500.0,75000.0
57,2018,9,9,10,3250.0,32500.0
53,2018,9,9,100,1780.0,178000.0
65,2018,9,9,100,1780.0,178000.0
76,2018,9,9,100,1500.0,150000.0
57,2018,9,9,50,3250.0,162500.0
20,2018,9,9,120,500.0,60000.0
76,2018,9,9,50,1500.0,75000.0
10,2018,9,9,35,2480.0,86800.0
57,2018,9,9,5,3300.0,16500.0
37,2018,9,9,10,1800.0,18000.0
20,2018,9,9,240,500.0,120000.0
65,2018,9,9,100,1780.0,178000.0
53,2018,9,9,100,1780.0,178000.0
57,2018,9,9,25,3250.0,81250.0
10,2018,9,9,35,2480.0,86800.0
76,2018,9,9,50,1500.0,75000.0
22,2018,9,9,25,3300.0,82500.0
9,2018,9,9,30,2820.0,84600.0
65,2018,9,10,40,1800.0,72000.0
76,2018,9,10,40,1500.0,60000.0
57,2018,9,10,20,3300.0,66000.0
10,2018,9,10,28,2480.0,69440.0
65,2018,9,10,100,1800.0,180000.0
76,2018,9,10,50,1500.0,75000.0
10,2018,9,10,70,2480.0,173600.0
76,2018,9,10,100,1500.0,150000.0
20,2018,9,10,120,500.0,60000.0
76,2018,9,10,100,1500.0,150000.0
10,2018,9,10,35,2480.0,86800.0
76,2018,9,10,50,1500.0,75000.0
10,2018,9,11,35,2480.0,86800.0
76,2018,9,11,50,1500.0,75000.0
22,2018,9,11,25,3300.0,82500.0
9,2018,9,11,30,2820.0,84600.0
10,2018,9,11,70,2480.0,173600.0
76,2018,9,11,100,1500.0,150000.0
22,2018,9,11,25,3300.0,82500.0
9,2018,9,11,30,2820.0,84600.0
22,2018,9,11,35,3300.0,115500.0
9,2018,9,11,48,2820.0,135360.0
22,2018,9,11,25,3300.0,82500.0
9,2018,9,11,30,2820.0,84600.0
20,2018,9,11,120,500.0,60000.0
76,2018,9,11,30,1500.0,45000.0
27,2018,9,11,30,1500.0,45000.0
10,2018,9,11,21,2480.0,52080.0
9,2018,9,11,18,2830.0,50940.0
22,2018,9,11,15,3300.0,49500.0
57,2018,9,11,25,3280.0,82000.0
10,2018,9,11,70,2480.0,173600.0
22,2018,9,11,50,3300.0,165000.0
9,2018,9,11,60,2820.0,169200.0
10,2018,9,11,35,2480.0,86800.0
9,2018,9,11,30,2820.0,84600.0
37,2018,9,11,30,1780.0,53400.0
22,2018,9,11,10,3300.0,33000.0
10,2018,9,11,70,2480.0,173600.0
22,2018,9,11,50,3300.0,165000.0
9,2018,9,11,60,2820.0,169200.0
22,2018,9,11,25,3300.0,82500.0
9,2018,9,11,30,2820.0,84600.0
10,2018,9,11,28,2480.0,69440.0
76,2018,9,11,100,1500.0,150000.0
20,2018,9,11,360,500.0,180000.0
10,2018,9,11,105,2480.0,260400.0
57,2018,9,11,75,3250.0,243750.0
53,2018,9,11,100,1780.0,178000.0
65,2018,9,11,200,1780.0,356000.0
76,2018,9,11,100,1500.0,150000.0
20,2018,9,11,240,500.0,120000.0
65,2018,9,11,100,1780.0,178000.0
22,2018,9,11,25,3300.0,82500.0
9,2018,9,11,30,2820.0,84600.0
22,2018,9,11,15,3300.0,49500.0
9,2018,9,11,18,2820.0,50760.0
20,2018,9,11,240,500.0,120000.0
65,2018,9,11,150,1800.0,270000.0
76,2018,9,11,100,1500.0,150000.0
53,2018,9,11,50,1800.0,90000.0
10,2018,9,11,70,2480.0,173600.0
9,2018,9,11,60,2820.0,169200.0
22,2018,9,11,50,3300.0,165000.0
57,2018,9,11,50,3250.0,162500.0
20,2018,9,12,360,500.0,180000.0
65,2018,9,12,200,1800.0,360000.0
53,2018,9,12,150,1800.0,270000.0
