Unnamed: 0,Brand,Year,months,days,Qty,Rate,Amount
0,27,2018,9,3,50,1500.0,75000.0
1,76,2018,9,3,60,1500.0,90000.0
2,65,2018,9,3,20,1780.0,35600.0
3,57,2018,9,4,60,3250.0,195000.0
4,53,2018,9,4,200,1780.0,356000.0
5,65,2018,9,4,300,1780.0,534000.0
6,20,2018,9,4,960,500.0,480000.0
7,65,2018,9,4,50,1780.0,89000.0
8,53,2018,9,4,50,1780.0,89000.0
9,20,2018,9,4,240,500.0,120000.0
10,57,2018,9,4,25,3250.0,81250.0
11,53,2018,9,4,50,1780.0,89000.0
12,20,2018,9,4,120,500.0,60000.0
13,65,2018,9,4,50,1780.0,89000.0
14,57,2018,9,4,10,3250.0,32500.0
15,20,2018,9,4,72,500.0,36000.0
16,20,2018,9,4,240,500.0,120000.0
17,53,2018,9,4,100,1800.0,180000.0
18,57,2018,9,4,25,3250.0,81250.0
19,65,2018,9,4,50,1800.0,90000.0
20,20,2018,9,4,240,500.0,120000.0
21,65,2018,9,4,100,1800.0,180000.0
22,57,2018,9,4,25,3250.0,81250.0
23,53,2018,9,4,50,1800.0,90000.0
24,20,2018,9,4,480,500.0,240000.0
25,57,2018,9,4,50,3250.0,162500.0
26,20,2018,9,4,480,500.0,240000.0
27,57,2018,9,4,50,3250.0,162500.0
28,20,2018,9,4,240,500.0,120000.0
29,57,2018,9,4,25,3250.0,81250.0
30,57,2018,9,4,25,3250.0,81250.0
31,27,2018,9,4,30,1500.0,45000.0
32,20,2018,9,4,48,500.0,24000.0
33,57,2018,9,4,20,3250.0,65000.0
34,57,2018,9,4,5,3300.0,16500.0
35,20,2018,9,4,24,510.0,12240.0
36,76,2018,9,4,10,1520.0,15200.0
37,57,2018,9,4,5,3250.0,16250.0
38,20,2018,9,4,24,500.0,12000.0
39,57,2018,9,4,25,3250.0,81250.0
40,65,2018,9,4,50,1800.0,90000.0
41,53,2018,9,4,50,1800.0,90000.0
42,20,2018,9,4,240,500.0,120000.0
43,57,2018,9,4,15,3250.0,48750.0
44,57,2018,9,4,10,3250.0,32500.0
45,57,2018,9,4,5,3250.0,16250.0
46,20,2018,9,4,24,500.0,12000.0
47,57,2018,9,4,25,3250.0,81250.0
48,20,2018,9,4,240,500.0,120000.0
49,57,2018,9,4,25,3250.0,81250.0
50,20,2018,9,5,840,500.0,420000.0
51,57,2018,9,5,100,3250.0,325000.0
52,53,2018,9,5,200,1800.0,360000.0
53,65,2018,9,5,450,1780.0,801000.0
54,57,2018,9,5,10,3250.0,32500.0
55,20,2018,9,5,240,500.0,120000.0
56,53,2018,9,5,100,1780.0,178000.0
57,65,2018,9,5,100,1780.0,178000.0
58,57,2018,9,5,25,3250.0,81250.0
59,20,2018,9,5,168,500.0,84000.0
60,57,2018,9,5,15,3250.0,48750.0
61,20,2018,9,5,72,500.0,36000.0
62,57,2018,9,5,10,3250.0,32500.0
63,65,2018,9,5,150,1780.0,267000.0
64,53,2018,9,5,50,1780.0,89000.0
65,57,2018,9,5,10,3250.0,32500.0
66,20,2018,9,5,24,500.0,12000.0
67,20,2018,9,5,120,500.0,60000.0
68,20,2018,9,5,960,500.0,480000.0
69,57,2018,9,5,145,3250.0,471250.0
70,53,2018,9,5,290,1800.0,522000.0
71,65,2018,9,5,340,1780.0,605200.0
72,76,2018,9,5,100,1500.0,150000.0
73,20,2018,9,6,240,500.0,120000.0
